"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"221",221,"12","10to15",0,0,1,0,0,0
"222",222,"17","15to20",0,0,0,1,0,0
"223",223,"17","15to20",0,0,0,1,0,0
"224",224,"28","20+",0,0,0,0,1,0
"225",225,"7","5to10",0,1,0,0,0,0
"226",226,"12","10to15",0,0,1,0,0,0
"227",227,"9","5to10",0,1,0,0,0,0
"228",228,"18","15to20",0,0,0,1,0,0
"229",229,"2","1to5",1,0,0,0,0,0
"230",230,"11","10to15",0,0,1,0,0,0
"231",231,"11","10to15",0,0,1,0,0,0
"232",232,"11","10to15",0,0,1,0,0,0
"233",233,"4","1to5",1,0,0,0,0,0
"234",234,"18","15to20",0,0,0,1,0,0
"235",235,"4","1to5",1,0,0,0,0,0
"236",236,"NA","NA",0,0,0,0,0,1
"237",237,"13","10to15",0,0,1,0,0,0
"238",238,"14","10to15",0,0,1,0,0,0
"239",239,"10","5to10",0,1,0,0,0,0
"240",240,"19","15to20",0,0,0,1,0,0
"241",241,"27","20+",0,0,0,0,1,0
"242",242,"3","1to5",1,0,0,0,0,0
"243",243,"10","5to10",0,1,0,0,0,0
"244",244,"12","10to15",0,0,1,0,0,0
"245",245,"8","5to10",0,1,0,0,0,0
"246",246,"5","1to5",1,0,0,0,0,0
"247",247,"2","1to5",1,0,0,0,0,0
"248",248,"9","5to10",0,1,0,0,0,0
"249",249,"6","5to10",0,1,0,0,0,0
"250",250,"18","15to20",0,0,0,1,0,0
"251",251,"10","5to10",0,1,0,0,0,0
"252",252,"10","5to10",0,1,0,0,0,0
"253",253,"10","5to10",0,1,0,0,0,0
"254",254,"8","5to10",0,1,0,0,0,0
"255",255,"8","5to10",0,1,0,0,0,0
"256",256,"1","1to5",1,0,0,0,0,0
"257",257,"11","10to15",0,0,1,0,0,0
"258",258,"2","1to5",1,0,0,0,0,0
"259",259,"4","1to5",1,0,0,0,0,0
"260",260,"3","1to5",1,0,0,0,0,0
