"","id","noi","category","category_1to5","category_5to10","category_10to15","category_15to20","category_20+","category_NA"
"1798",1798,"3","1to5",1,0,0,0,0,0
"1799",1799,"4","1to5",1,0,0,0,0,0
"1800",1800,"NA","NA",0,0,0,0,0,1
"1801",1801,"5","1to5",1,0,0,0,0,0
"1802",1802,"NA","NA",0,0,0,0,0,1
"1803",1803,"NA","NA",0,0,0,0,0,1
"1804",1804,"NA","NA",0,0,0,0,0,1
"1805",1805,"4","1to5",1,0,0,0,0,0
"1806",1806,"NA","NA",0,0,0,0,0,1
"1807",1807,"NA","NA",0,0,0,0,0,1
"1808",1808,"2","1to5",1,0,0,0,0,0
"1809",1809,"1","1to5",1,0,0,0,0,0
"1810",1810,"2","1to5",1,0,0,0,0,0
"1811",1811,"2","1to5",1,0,0,0,0,0
"1812",1812,"5","1to5",1,0,0,0,0,0
"1813",1813,"1","1to5",1,0,0,0,0,0
"1814",1814,"1","1to5",1,0,0,0,0,0
"1815",1815,"NA","NA",0,0,0,0,0,1
"1816",1816,"3","1to5",1,0,0,0,0,0
"1817",1817,"6","5to10",0,1,0,0,0,0
"1818",1818,"NA","NA",0,0,0,0,0,1
"1819",1819,"3","1to5",1,0,0,0,0,0
"1820",1820,"NA","NA",0,0,0,0,0,1
"1821",1821,"1","1to5",1,0,0,0,0,0
"1822",1822,"2","1to5",1,0,0,0,0,0
"1823",1823,"1","1to5",1,0,0,0,0,0
"1824",1824,"2","1to5",1,0,0,0,0,0
"1825",1825,"5","1to5",1,0,0,0,0,0
"1826",1826,"2","1to5",1,0,0,0,0,0
"1827",1827,"2","1to5",1,0,0,0,0,0
"1828",1828,"3","1to5",1,0,0,0,0,0
"1829",1829,"1","1to5",1,0,0,0,0,0
"1830",1830,"4","1to5",1,0,0,0,0,0
"1831",1831,"4","1to5",1,0,0,0,0,0
"1832",1832,"3","1to5",1,0,0,0,0,0
"1833",1833,"3","1to5",1,0,0,0,0,0
"1834",1834,"2","1to5",1,0,0,0,0,0
"1835",1835,"1","1to5",1,0,0,0,0,0
"1836",1836,"NA","NA",0,0,0,0,0,1
"1837",1837,"1","1to5",1,0,0,0,0,0
"1838",1838,"2","1to5",1,0,0,0,0,0
"1839",1839,"NA","NA",0,0,0,0,0,1
"1840",1840,"NA","NA",0,0,0,0,0,1
"1841",1841,"2","1to5",1,0,0,0,0,0
"1842",1842,"4","1to5",1,0,0,0,0,0
"1843",1843,"NA","NA",0,0,0,0,0,1
"1844",1844,"NA","NA",0,0,0,0,0,1
"1845",1845,"1","1to5",1,0,0,0,0,0
