"","Y","id","Number_of_Funding_Rounds"
"354",1,354,1
"355",1,355,6
"356",1,356,5
"357",1,357,1
"358",1,358,4
"359",1,359,3
"360",1,360,3
"361",1,361,2
"362",1,362,1
"363",1,363,4
"364",1,364,1
"365",1,365,3
"366",1,366,4
"367",1,367,4
"368",1,368,2
"369",1,369,2
"370",1,370,4
"371",1,371,2
"372",1,372,3
"373",1,373,4
"374",1,374,4
"375",1,375,2
"376",1,376,1
"377",1,377,2
"378",1,378,2
"379",1,379,8
"380",1,380,2
"381",1,381,5
"382",1,382,1
"383",1,383,1
"384",1,384,1
"385",1,385,5
"386",1,386,7
"387",1,387,5
"388",1,388,4
"389",1,389,3
"390",1,390,1
"391",1,391,1
"392",1,392,2
"393",1,393,5
"394",1,394,2
"395",1,395,4
"396",1,396,1
"397",1,397,3
"398",1,398,2
"399",1,399,4
"400",1,400,3
"401",1,401,4
"402",1,402,6
"403",1,403,1
"404",1,404,2
"405",1,405,1
"406",1,406,4
"407",1,407,4
"408",1,408,8
"409",1,409,3
"410",1,410,3
"411",1,411,2
"412",1,412,4
"413",1,413,3
"414",1,414,3
"415",1,415,1
"416",1,416,4
"417",1,417,2
"418",1,418,1
"419",1,419,2
"420",1,420,1
"421",1,421,1
"422",1,422,2
"423",1,423,0
"424",1,424,3
"425",1,425,3
"426",1,426,1
"427",1,427,5
"428",1,428,4
"429",1,429,6
"430",1,430,7
"431",1,431,4
"432",1,432,4
"433",1,433,1
"434",1,434,2
"435",1,435,3
"436",1,436,6
"437",1,437,4
"438",1,438,1
"439",1,439,4
"440",1,440,5
"441",1,441,2
"442",1,442,4
"443",1,443,1
"444",1,444,3
"445",1,445,2
"446",1,446,3
"447",1,447,2
"448",1,448,4
"449",1,449,7
"450",1,450,2
"451",1,451,1
"452",1,452,3
"453",0,453,6
"454",0,454,5
"455",0,455,3
"456",0,456,3
"457",0,457,5
"458",0,458,2
"459",0,459,3
"460",0,460,3
"461",0,461,1
"462",0,462,2
"463",0,463,2
"464",0,464,4
"465",0,465,4
"466",0,466,2
"467",0,467,3
"468",0,468,3
"469",0,469,3
"470",0,470,1
"471",0,471,3
"472",0,472,3
"473",0,473,1
"474",0,474,0
"475",0,475,2
"476",0,476,7
"477",0,477,4
"478",0,478,3
"479",0,479,1
"480",0,480,3
"481",0,481,3
"482",0,482,3
"483",0,483,1
"484",0,484,2
"485",0,485,1
"486",0,486,9
"487",0,487,3
"488",0,488,4
"489",0,489,3
"490",0,490,1
"491",0,491,2
"492",0,492,2
"493",0,493,2
"494",0,494,3
"495",0,495,3
"496",0,496,1
"497",0,497,2
"498",0,498,1
"499",0,499,2
"500",0,500,7
"501",0,501,2
"502",0,502,4
"503",0,503,3
"504",0,504,4
"505",0,505,1
"506",0,506,1
"507",0,507,2
"508",0,508,2
"509",0,509,1
"510",0,510,3
"511",0,511,2
"512",0,512,5
"513",0,513,2
"514",0,514,4
"515",0,515,5
"516",0,516,4
"517",0,517,1
"518",0,518,6
"519",0,519,1
"520",0,520,5
"521",0,521,3
"522",0,522,2
"523",0,523,3
"524",0,524,2
"525",0,525,3
"526",0,526,4
"527",0,527,2
"528",0,528,5
"529",0,529,3
"530",0,530,1
"531",0,531,7
"532",0,532,2
"533",0,533,5
"534",0,534,3
"535",0,535,3
"536",0,536,1
"537",0,537,1
"538",0,538,1
"539",0,539,1
"540",0,540,2
"541",0,541,6
"542",0,542,1
"543",0,543,3
"544",0,544,1
"545",0,545,1
"546",0,546,2
"547",0,547,1
"548",0,548,4
"549",0,549,3
"550",0,550,8
"551",0,551,2
"552",0,552,5
"553",0,553,0
"554",0,554,1
"555",0,555,2
"556",0,556,3
"557",0,557,7
"558",0,558,2
"559",0,559,6
"560",0,560,1
"561",0,561,5
"562",0,562,4
"563",0,563,7
"564",0,564,3
"565",0,565,2
"566",0,566,1
"567",0,567,3
"568",0,568,2
"569",0,569,0
"570",0,570,2
"571",0,571,2
"572",0,572,0
"573",0,573,5
"574",0,574,6
"575",0,575,2
"576",0,576,1
"577",0,577,5
"578",0,578,1
"579",0,579,1
"580",0,580,8
"581",0,581,1
"582",0,582,3
"583",0,583,2
"584",0,584,2
"585",0,585,6
"586",0,586,2
"587",0,587,1
"588",0,588,6
"589",0,589,1
"590",0,590,4
"591",0,591,1
"592",0,592,3
"593",0,593,1
"594",0,594,2
"595",0,595,3
"596",0,596,2
"597",0,597,1
"598",0,598,4
"599",0,599,4
"600",0,600,3
"601",0,601,2
"602",0,602,2
"603",0,603,2
"604",0,604,4
"605",0,605,6
"606",0,606,2
"607",0,607,2
"608",0,608,1
"609",0,609,3
"610",0,610,6
"611",0,611,2
"612",0,612,2
"613",0,613,4
"614",0,614,3
"615",0,615,2
"616",0,616,22
"617",0,617,4
"618",0,618,3
"619",0,619,0
"620",0,620,3
"621",0,621,4
"622",0,622,1
"623",0,623,8
"624",0,624,5
"625",0,625,1
"626",0,626,2
"627",0,627,2
"628",0,628,2
"629",0,629,4
"630",0,630,1
"631",0,631,2
"632",0,632,2
"633",0,633,4
"634",0,634,7
"635",0,635,5
"636",0,636,8
"637",0,637,2
"638",0,638,4
"639",0,639,1
"640",0,640,4
"641",0,641,3
"642",0,642,2
"643",0,643,2
"644",0,644,5
"645",0,645,1
"646",0,646,1
"647",0,647,5
"648",0,648,3
"649",0,649,6
"650",0,650,5
"651",0,651,1
"652",0,652,2
"653",0,653,2
"654",0,654,1
"655",0,655,8
"656",0,656,1
"657",0,657,1
"658",0,658,1
"659",0,659,4
"660",0,660,3
"661",0,661,1
"662",0,662,4
"663",0,663,2
"664",0,664,1
"665",0,665,3
"666",0,666,4
"667",0,667,5
"668",0,668,1
"669",0,669,2
"670",0,670,4
"671",0,671,1
"672",0,672,3
"673",0,673,3
"674",0,674,3
"675",0,675,7
