"","id","nof","nof_1","nof_2","nof_3","nof_4","nof_5","nof_6","nof_7","nof_8","nof_9","nof_NA"
"1306",1306,"NA",0,0,0,0,0,0,0,0,0,1
"1307",1307,"2",0,1,0,0,0,0,0,0,0,0
"1308",1308,"3",0,0,1,0,0,0,0,0,0,0
"1309",1309,"NA",0,0,0,0,0,0,0,0,0,1
"1310",1310,"1",1,0,0,0,0,0,0,0,0,0
"1311",1311,"1",1,0,0,0,0,0,0,0,0,0
"1312",1312,"1",1,0,0,0,0,0,0,0,0,0
"1313",1313,"1",1,0,0,0,0,0,0,0,0,0
"1314",1314,"2",0,1,0,0,0,0,0,0,0,0
"1315",1315,"1",1,0,0,0,0,0,0,0,0,0
"1316",1316,"2",0,1,0,0,0,0,0,0,0,0
"1317",1317,"NA",0,0,0,0,0,0,0,0,0,1
"1318",1318,"2",0,1,0,0,0,0,0,0,0,0
"1319",1319,"1",1,0,0,0,0,0,0,0,0,0
"1320",1320,"1",1,0,0,0,0,0,0,0,0,0
"1321",1321,"2",0,1,0,0,0,0,0,0,0,0
"1322",1322,"1",1,0,0,0,0,0,0,0,0,0
"1323",1323,"1",1,0,0,0,0,0,0,0,0,0
"1324",1324,"NA",0,0,0,0,0,0,0,0,0,1
"1325",1325,"2",0,1,0,0,0,0,0,0,0,0
"1326",1326,"1",1,0,0,0,0,0,0,0,0,0
"1327",1327,"2",0,1,0,0,0,0,0,0,0,0
"1328",1328,"2",0,1,0,0,0,0,0,0,0,0
"1329",1329,"1",1,0,0,0,0,0,0,0,0,0
"1330",1330,"3",0,0,1,0,0,0,0,0,0,0
"1331",1331,"2",0,1,0,0,0,0,0,0,0,0
"1332",1332,"1",1,0,0,0,0,0,0,0,0,0
"1333",1333,"2",0,1,0,0,0,0,0,0,0,0
"1334",1334,"NA",0,0,0,0,0,0,0,0,0,1
"1335",1335,"3",0,0,1,0,0,0,0,0,0,0
"1336",1336,"1",1,0,0,0,0,0,0,0,0,0
"1337",1337,"4",0,0,0,1,0,0,0,0,0,0
"1338",1338,"3",0,0,1,0,0,0,0,0,0,0
"1339",1339,"1",1,0,0,0,0,0,0,0,0,0
"1340",1340,"2",0,1,0,0,0,0,0,0,0,0
"1341",1341,"4",0,0,0,1,0,0,0,0,0,0
"1342",1342,"2",0,1,0,0,0,0,0,0,0,0
"1343",1343,"2",0,1,0,0,0,0,0,0,0,0
"1344",1344,"1",1,0,0,0,0,0,0,0,0,0
"1345",1345,"1",1,0,0,0,0,0,0,0,0,0
"1346",1346,"1",1,0,0,0,0,0,0,0,0,0
"1347",1347,"1",1,0,0,0,0,0,0,0,0,0
"1348",1348,"1",1,0,0,0,0,0,0,0,0,0
"1349",1349,"NA",0,0,0,0,0,0,0,0,0,1
"1350",1350,"NA",0,0,0,0,0,0,0,0,0,1
"1351",1351,"4",0,0,0,1,0,0,0,0,0,0
"1352",1352,"NA",0,0,0,0,0,0,0,0,0,1
"1353",1353,"2",0,1,0,0,0,0,0,0,0,0
"1354",1354,"NA",0,0,0,0,0,0,0,0,0,1
"1355",1355,"1",1,0,0,0,0,0,0,0,0,0
"1356",1356,"1",1,0,0,0,0,0,0,0,0,0
"1357",1357,"1",1,0,0,0,0,0,0,0,0,0
"1358",1358,"2",0,1,0,0,0,0,0,0,0,0
"1359",1359,"2",0,1,0,0,0,0,0,0,0,0
"1360",1360,"1",1,0,0,0,0,0,0,0,0,0
"1361",1361,"3",0,0,1,0,0,0,0,0,0,0
"1362",1362,"2",0,1,0,0,0,0,0,0,0,0
"1363",1363,"NA",0,0,0,0,0,0,0,0,0,1
"1364",1364,"1",1,0,0,0,0,0,0,0,0,0
"1365",1365,"2",0,1,0,0,0,0,0,0,0,0
"1366",1366,"2",0,1,0,0,0,0,0,0,0,0
"1367",1367,"1",1,0,0,0,0,0,0,0,0,0
"1368",1368,"5",0,0,0,0,1,0,0,0,0,0
"1369",1369,"NA",0,0,0,0,0,0,0,0,0,1
"1370",1370,"2",0,1,0,0,0,0,0,0,0,0
"1371",1371,"3",0,0,1,0,0,0,0,0,0,0
"1372",1372,"3",0,0,1,0,0,0,0,0,0,0
"1373",1373,"2",0,1,0,0,0,0,0,0,0,0
"1374",1374,"1",1,0,0,0,0,0,0,0,0,0
