"","id","nof","nof_1","nof_2","nof_3","nof_4","nof_5","nof_6","nof_7","nof_8","nof_9","nof_NA"
"1656",1656,"2",0,1,0,0,0,0,0,0,0,0
"1657",1657,"NA",0,0,0,0,0,0,0,0,0,1
"1658",1658,"2",0,1,0,0,0,0,0,0,0,0
"1659",1659,"2",0,1,0,0,0,0,0,0,0,0
"1660",1660,"NA",0,0,0,0,0,0,0,0,0,1
"1661",1661,"1",1,0,0,0,0,0,0,0,0,0
"1662",1662,"2",0,1,0,0,0,0,0,0,0,0
"1663",1663,"NA",0,0,0,0,0,0,0,0,0,1
"1664",1664,"1",1,0,0,0,0,0,0,0,0,0
"1665",1665,"3",0,0,1,0,0,0,0,0,0,0
"1666",1666,"2",0,1,0,0,0,0,0,0,0,0
"1667",1667,"2",0,1,0,0,0,0,0,0,0,0
"1668",1668,"1",1,0,0,0,0,0,0,0,0,0
"1669",1669,"NA",0,0,0,0,0,0,0,0,0,1
"1670",1670,"2",0,1,0,0,0,0,0,0,0,0
"1671",1671,"1",1,0,0,0,0,0,0,0,0,0
"1672",1672,"1",1,0,0,0,0,0,0,0,0,0
"1673",1673,"1",1,0,0,0,0,0,0,0,0,0
"1674",1674,"3",0,0,1,0,0,0,0,0,0,0
"1675",1675,"3",0,0,1,0,0,0,0,0,0,0
"1676",1676,"1",1,0,0,0,0,0,0,0,0,0
"1677",1677,"1",1,0,0,0,0,0,0,0,0,0
"1678",1678,"1",1,0,0,0,0,0,0,0,0,0
"1679",1679,"2",0,1,0,0,0,0,0,0,0,0
"1680",1680,"1",1,0,0,0,0,0,0,0,0,0
"1681",1681,"2",0,1,0,0,0,0,0,0,0,0
"1682",1682,"1",1,0,0,0,0,0,0,0,0,0
"1683",1683,"2",0,1,0,0,0,0,0,0,0,0
"1684",1684,"2",0,1,0,0,0,0,0,0,0,0
"1685",1685,"3",0,0,1,0,0,0,0,0,0,0
"1686",1686,"1",1,0,0,0,0,0,0,0,0,0
"1687",1687,"1",1,0,0,0,0,0,0,0,0,0
"1688",1688,"1",1,0,0,0,0,0,0,0,0,0
"1689",1689,"1",1,0,0,0,0,0,0,0,0,0
"1690",1690,"1",1,0,0,0,0,0,0,0,0,0
"1691",1691,"1",1,0,0,0,0,0,0,0,0,0
