"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"1955",1955,"NA",0,0,0,0,0,0,0,0,0,1
"1956",1956,"NA",0,0,0,0,0,0,0,0,0,1
"1957",1957,"NA",0,0,0,0,0,0,0,0,0,1
"1958",1958,"NA",0,0,0,0,0,0,0,0,0,1
"1959",1959,"NA",0,0,0,0,0,0,0,0,0,1
"1960",1960,"1",1,0,0,0,0,0,0,0,0,0
"1961",1961,"NA",0,0,0,0,0,0,0,0,0,1
"1962",1962,"NA",0,0,0,0,0,0,0,0,0,1
"1963",1963,"NA",0,0,0,0,0,0,0,0,0,1
"1964",1964,"1",1,0,0,0,0,0,0,0,0,0
"1965",1965,"2",0,1,0,0,0,0,0,0,0,0
"1966",1966,"1",1,0,0,0,0,0,0,0,0,0
"1967",1967,"NA",0,0,0,0,0,0,0,0,0,1
"1968",1968,"1",1,0,0,0,0,0,0,0,0,0
"1969",1969,"NA",0,0,0,0,0,0,0,0,0,1
"1970",1970,"NA",0,0,0,0,0,0,0,0,0,1
"1971",1971,"NA",0,0,0,0,0,0,0,0,0,1
"1972",1972,"NA",0,0,0,0,0,0,0,0,0,1
"1973",1973,"NA",0,0,0,0,0,0,0,0,0,1
"1974",1974,"1",1,0,0,0,0,0,0,0,0,0
"1975",1975,"NA",0,0,0,0,0,0,0,0,0,1
"1976",1976,"NA",0,0,0,0,0,0,0,0,0,1
"1977",1977,"1",1,0,0,0,0,0,0,0,0,0
"1978",1978,"NA",0,0,0,0,0,0,0,0,0,1
"1979",1979,"NA",0,0,0,0,0,0,0,0,0,1
"1980",1980,"NA",0,0,0,0,0,0,0,0,0,1
"1981",1981,"NA",0,0,0,0,0,0,0,0,0,1
"1982",1982,"NA",0,0,0,0,0,0,0,0,0,1
"1983",1983,"NA",0,0,0,0,0,0,0,0,0,1
"1984",1984,"NA",0,0,0,0,0,0,0,0,0,1
"1985",1985,"NA",0,0,0,0,0,0,0,0,0,1
"1986",1986,"NA",0,0,0,0,0,0,0,0,0,1
"1987",1987,"NA",0,0,0,0,0,0,0,0,0,1
"1988",1988,"NA",0,0,0,0,0,0,0,0,0,1
"1989",1989,"NA",0,0,0,0,0,0,0,0,0,1
"1990",1990,"5",0,0,0,0,1,0,0,0,0,0
"1991",1991,"NA",0,0,0,0,0,0,0,0,0,1
"1992",1992,"NA",0,0,0,0,0,0,0,0,0,1
"1993",1993,"NA",0,0,0,0,0,0,0,0,0,1
"1994",1994,"1",1,0,0,0,0,0,0,0,0,0
"1995",1995,"NA",0,0,0,0,0,0,0,0,0,1
"1996",1996,"NA",0,0,0,0,0,0,0,0,0,1
"1997",1997,"NA",0,0,0,0,0,0,0,0,0,1
"1998",1998,"NA",0,0,0,0,0,0,0,0,0,1
"1999",1999,"1",1,0,0,0,0,0,0,0,0,0
"2000",2000,"NA",0,0,0,0,0,0,0,0,0,1
