"","id","Lead_Investors","Lead_Investors_1","Lead_Investors_2","Lead_Investors_3","Lead_Investors_4","Lead_Investors_5","Lead_Investors_6","Lead_Investors_7","Lead_Investors_8","Lead_Investors_9","Lead_Investors_NA"
"315",315,"1",1,0,0,0,0,0,0,0,0,0
"316",316,"2",0,1,0,0,0,0,0,0,0,0
"317",317,"1",1,0,0,0,0,0,0,0,0,0
"318",318,"1",1,0,0,0,0,0,0,0,0,0
"319",319,"5",0,0,0,0,1,0,0,0,0,0
"320",320,"NA",0,0,0,0,0,0,0,0,0,1
"321",321,"1",1,0,0,0,0,0,0,0,0,0
"322",322,"5",0,0,0,0,1,0,0,0,0,0
"323",323,"NA",0,0,0,0,0,0,0,0,0,1
"324",324,"1",1,0,0,0,0,0,0,0,0,0
"325",325,"3",0,0,1,0,0,0,0,0,0,0
"326",326,"1",1,0,0,0,0,0,0,0,0,0
"327",327,"2",0,1,0,0,0,0,0,0,0,0
"328",328,"3",0,0,1,0,0,0,0,0,0,0
"329",329,"3",0,0,1,0,0,0,0,0,0,0
