"","Y","id","noe","noe_1-10","noe_10001+","noe_1001-5000","noe_101-250","noe_11-50","noe_251-500","noe_5001-10000","noe_501-1000","noe_51-100","noe_NA"
"316",1,316,"11-50",0,0,0,0,1,0,0,0,0,0
"317",1,317,"NA",0,0,0,0,0,0,0,0,0,1
"318",1,318,"NA",0,0,0,0,0,0,0,0,0,1
"319",1,319,"11-50",0,0,0,0,1,0,0,0,0,0
"320",1,320,"11-50",0,0,0,0,1,0,0,0,0,0
"321",1,321,"1-10",1,0,0,0,0,0,0,0,0,0
"322",1,322,"11-50",0,0,0,0,1,0,0,0,0,0
"323",1,323,"11-50",0,0,0,0,1,0,0,0,0,0
"324",1,324,"11-50",0,0,0,0,1,0,0,0,0,0
"325",1,325,"101-250",0,0,0,1,0,0,0,0,0,0
"326",1,326,"501-1000",0,0,0,0,0,0,0,1,0,0
"327",1,327,"NA",0,0,0,0,0,0,0,0,0,1
"328",1,328,"51-100",0,0,0,0,0,0,0,0,1,0
"329",1,329,"11-50",0,0,0,0,1,0,0,0,0,0
"330",1,330,"11-50",0,0,0,0,1,0,0,0,0,0
"331",1,331,"101-250",0,0,0,1,0,0,0,0,0,0
"332",1,332,"1-10",1,0,0,0,0,0,0,0,0,0
"333",1,333,"11-50",0,0,0,0,1,0,0,0,0,0
"334",1,334,"11-50",0,0,0,0,1,0,0,0,0,0
"335",1,335,"11-50",0,0,0,0,1,0,0,0,0,0
"336",1,336,"11-50",0,0,0,0,1,0,0,0,0,0
"337",1,337,"101-250",0,0,0,1,0,0,0,0,0,0
"338",1,338,"501-1000",0,0,0,0,0,0,0,1,0,0
"339",1,339,"11-50",0,0,0,0,1,0,0,0,0,0
"340",1,340,"251-500",0,0,0,0,0,1,0,0,0,0
"341",1,341,"101-250",0,0,0,1,0,0,0,0,0,0
"342",1,342,"1-10",1,0,0,0,0,0,0,0,0,0
"343",1,343,"11-50",0,0,0,0,1,0,0,0,0,0
"344",1,344,"51-100",0,0,0,0,0,0,0,0,1,0
"345",1,345,"11-50",0,0,0,0,1,0,0,0,0,0
"346",1,346,"1-10",1,0,0,0,0,0,0,0,0,0
"347",1,347,"NA",0,0,0,0,0,0,0,0,0,1
"348",1,348,"251-500",0,0,0,0,0,1,0,0,0,0
"349",1,349,"11-50",0,0,0,0,1,0,0,0,0,0
"350",1,350,"11-50",0,0,0,0,1,0,0,0,0,0
"351",1,351,"51-100",0,0,0,0,0,0,0,0,1,0
"352",1,352,"5001-10000",0,0,0,0,0,0,1,0,0,0
"353",1,353,"NA",0,0,0,0,0,0,0,0,0,1
"354",1,354,"NA",0,0,0,0,0,0,0,0,0,1
"355",1,355,"11-50",0,0,0,0,1,0,0,0,0,0
"356",1,356,"11-50",0,0,0,0,1,0,0,0,0,0
"357",1,357,"NA",0,0,0,0,0,0,0,0,0,1
"358",1,358,"11-50",0,0,0,0,1,0,0,0,0,0
"359",1,359,"11-50",0,0,0,0,1,0,0,0,0,0
"360",1,360,"51-100",0,0,0,0,0,0,0,0,1,0
"361",1,361,"11-50",0,0,0,0,1,0,0,0,0,0
"362",1,362,"51-100",0,0,0,0,0,0,0,0,1,0
"363",1,363,"101-250",0,0,0,1,0,0,0,0,0,0
"364",1,364,"NA",0,0,0,0,0,0,0,0,0,1
"365",1,365,"51-100",0,0,0,0,0,0,0,0,1,0
"366",1,366,"51-100",0,0,0,0,0,0,0,0,1,0
"367",1,367,"51-100",0,0,0,0,0,0,0,0,1,0
"368",1,368,"51-100",0,0,0,0,0,0,0,0,1,0
"369",1,369,"NA",0,0,0,0,0,0,0,0,0,1
"370",1,370,"11-50",0,0,0,0,1,0,0,0,0,0
"371",1,371,"NA",0,0,0,0,0,0,0,0,0,1
"372",1,372,"101-250",0,0,0,1,0,0,0,0,0,0
"373",1,373,"11-50",0,0,0,0,1,0,0,0,0,0
"374",1,374,"11-50",0,0,0,0,1,0,0,0,0,0
"375",1,375,"101-250",0,0,0,1,0,0,0,0,0,0
"376",1,376,"11-50",0,0,0,0,1,0,0,0,0,0
"377",1,377,"11-50",0,0,0,0,1,0,0,0,0,0
"378",1,378,"10001+",0,1,0,0,0,0,0,0,0,0
"379",1,379,"11-50",0,0,0,0,1,0,0,0,0,0
"380",1,380,"11-50",0,0,0,0,1,0,0,0,0,0
"381",1,381,"1-10",1,0,0,0,0,0,0,0,0,0
"382",1,382,"11-50",0,0,0,0,1,0,0,0,0,0
"383",1,383,"1-10",1,0,0,0,0,0,0,0,0,0
"384",1,384,"11-50",0,0,0,0,1,0,0,0,0,0
"385",1,385,"NA",0,0,0,0,0,0,0,0,0,1
"386",1,386,"1001-5000",0,0,1,0,0,0,0,0,0,0
"387",1,387,"11-50",0,0,0,0,1,0,0,0,0,0
"388",1,388,"11-50",0,0,0,0,1,0,0,0,0,0
"389",1,389,"11-50",0,0,0,0,1,0,0,0,0,0
"390",1,390,"11-50",0,0,0,0,1,0,0,0,0,0
"391",1,391,"1-10",1,0,0,0,0,0,0,0,0,0
"392",1,392,"11-50",0,0,0,0,1,0,0,0,0,0
"393",1,393,"251-500",0,0,0,0,0,1,0,0,0,0
"394",1,394,"11-50",0,0,0,0,1,0,0,0,0,0
"395",1,395,"NA",0,0,0,0,0,0,0,0,0,1
"396",1,396,"1-10",1,0,0,0,0,0,0,0,0,0
"397",1,397,"11-50",0,0,0,0,1,0,0,0,0,0
"398",1,398,"51-100",0,0,0,0,0,0,0,0,1,0
"399",1,399,"51-100",0,0,0,0,0,0,0,0,1,0
"400",1,400,"51-100",0,0,0,0,0,0,0,0,1,0
"401",1,401,"11-50",0,0,0,0,1,0,0,0,0,0
"402",1,402,"101-250",0,0,0,1,0,0,0,0,0,0
"403",1,403,"101-250",0,0,0,1,0,0,0,0,0,0
"404",1,404,"11-50",0,0,0,0,1,0,0,0,0,0
"405",1,405,"1-10",1,0,0,0,0,0,0,0,0,0
"406",1,406,"101-250",0,0,0,1,0,0,0,0,0,0
"407",1,407,"11-50",0,0,0,0,1,0,0,0,0,0
"408",1,408,"51-100",0,0,0,0,0,0,0,0,1,0
"409",1,409,"11-50",0,0,0,0,1,0,0,0,0,0
"410",1,410,"11-50",0,0,0,0,1,0,0,0,0,0
"411",1,411,"101-250",0,0,0,1,0,0,0,0,0,0
"412",1,412,"51-100",0,0,0,0,0,0,0,0,1,0
"413",1,413,"51-100",0,0,0,0,0,0,0,0,1,0
"414",1,414,"1-10",1,0,0,0,0,0,0,0,0,0
"415",1,415,"NA",0,0,0,0,0,0,0,0,0,1
"416",1,416,"11-50",0,0,0,0,1,0,0,0,0,0
"417",1,417,"11-50",0,0,0,0,1,0,0,0,0,0
"418",1,418,"11-50",0,0,0,0,1,0,0,0,0,0
"419",1,419,"11-50",0,0,0,0,1,0,0,0,0,0
"420",1,420,"11-50",0,0,0,0,1,0,0,0,0,0
"421",1,421,"11-50",0,0,0,0,1,0,0,0,0,0
"422",1,422,"11-50",0,0,0,0,1,0,0,0,0,0
"423",1,423,"10001+",0,1,0,0,0,0,0,0,0,0
"424",1,424,"11-50",0,0,0,0,1,0,0,0,0,0
"425",1,425,"11-50",0,0,0,0,1,0,0,0,0,0
"426",1,426,"NA",0,0,0,0,0,0,0,0,0,1
"427",1,427,"11-50",0,0,0,0,1,0,0,0,0,0
"428",1,428,"11-50",0,0,0,0,1,0,0,0,0,0
"429",1,429,"1001-5000",0,0,1,0,0,0,0,0,0,0
"430",1,430,"51-100",0,0,0,0,0,0,0,0,1,0
"431",1,431,"51-100",0,0,0,0,0,0,0,0,1,0
"432",1,432,"51-100",0,0,0,0,0,0,0,0,1,0
"433",1,433,"51-100",0,0,0,0,0,0,0,0,1,0
"434",1,434,"1001-5000",0,0,1,0,0,0,0,0,0,0
"435",1,435,"1-10",1,0,0,0,0,0,0,0,0,0
"436",1,436,"11-50",0,0,0,0,1,0,0,0,0,0
"437",1,437,"51-100",0,0,0,0,0,0,0,0,1,0
"438",1,438,"101-250",0,0,0,1,0,0,0,0,0,0
"439",1,439,"11-50",0,0,0,0,1,0,0,0,0,0
"440",1,440,"51-100",0,0,0,0,0,0,0,0,1,0
"441",1,441,"501-1000",0,0,0,0,0,0,0,1,0,0
"442",1,442,"11-50",0,0,0,0,1,0,0,0,0,0
"443",1,443,"1-10",1,0,0,0,0,0,0,0,0,0
"444",1,444,"11-50",0,0,0,0,1,0,0,0,0,0
"445",1,445,"1-10",1,0,0,0,0,0,0,0,0,0
"446",1,446,"NA",0,0,0,0,0,0,0,0,0,1
"447",1,447,"11-50",0,0,0,0,1,0,0,0,0,0
"448",1,448,"501-1000",0,0,0,0,0,0,0,1,0,0
"449",1,449,"11-50",0,0,0,0,1,0,0,0,0,0
"450",1,450,"501-1000",0,0,0,0,0,0,0,1,0,0
"451",1,451,"NA",0,0,0,0,0,0,0,0,0,1
"452",1,452,"11-50",0,0,0,0,1,0,0,0,0,0
"453",0,453,"11-50",0,0,0,0,1,0,0,0,0,0
"454",0,454,"51-100",0,0,0,0,0,0,0,0,1,0
"455",0,455,"NA",0,0,0,0,0,0,0,0,0,1
"456",0,456,"11-50",0,0,0,0,1,0,0,0,0,0
"457",0,457,"11-50",0,0,0,0,1,0,0,0,0,0
"458",0,458,"11-50",0,0,0,0,1,0,0,0,0,0
"459",0,459,"NA",0,0,0,0,0,0,0,0,0,1
"460",0,460,"11-50",0,0,0,0,1,0,0,0,0,0
"461",0,461,"1-10",1,0,0,0,0,0,0,0,0,0
"462",0,462,"101-250",0,0,0,1,0,0,0,0,0,0
"463",0,463,"251-500",0,0,0,0,0,1,0,0,0,0
"464",0,464,"11-50",0,0,0,0,1,0,0,0,0,0
"465",0,465,"101-250",0,0,0,1,0,0,0,0,0,0
"466",0,466,"11-50",0,0,0,0,1,0,0,0,0,0
"467",0,467,"1-10",1,0,0,0,0,0,0,0,0,0
"468",0,468,"NA",0,0,0,0,0,0,0,0,0,1
"469",0,469,"51-100",0,0,0,0,0,0,0,0,1,0
"470",0,470,"1001-5000",0,0,1,0,0,0,0,0,0,0
"471",0,471,"251-500",0,0,0,0,0,1,0,0,0,0
"472",0,472,"11-50",0,0,0,0,1,0,0,0,0,0
"473",0,473,"101-250",0,0,0,1,0,0,0,0,0,0
"474",0,474,"501-1000",0,0,0,0,0,0,0,1,0,0
"475",0,475,"51-100",0,0,0,0,0,0,0,0,1,0
"476",0,476,"251-500",0,0,0,0,0,1,0,0,0,0
"477",0,477,"251-500",0,0,0,0,0,1,0,0,0,0
"478",0,478,"11-50",0,0,0,0,1,0,0,0,0,0
"479",0,479,"11-50",0,0,0,0,1,0,0,0,0,0
"480",0,480,"11-50",0,0,0,0,1,0,0,0,0,0
"481",0,481,"51-100",0,0,0,0,0,0,0,0,1,0
"482",0,482,"11-50",0,0,0,0,1,0,0,0,0,0
"483",0,483,"11-50",0,0,0,0,1,0,0,0,0,0
"484",0,484,"11-50",0,0,0,0,1,0,0,0,0,0
"485",0,485,"11-50",0,0,0,0,1,0,0,0,0,0
"486",0,486,"51-100",0,0,0,0,0,0,0,0,1,0
"487",0,487,"11-50",0,0,0,0,1,0,0,0,0,0
"488",0,488,"11-50",0,0,0,0,1,0,0,0,0,0
"489",0,489,"11-50",0,0,0,0,1,0,0,0,0,0
"490",0,490,"1-10",1,0,0,0,0,0,0,0,0,0
"491",0,491,"1-10",1,0,0,0,0,0,0,0,0,0
"492",0,492,"11-50",0,0,0,0,1,0,0,0,0,0
"493",0,493,"51-100",0,0,0,0,0,0,0,0,1,0
"494",0,494,"11-50",0,0,0,0,1,0,0,0,0,0
"495",0,495,"11-50",0,0,0,0,1,0,0,0,0,0
"496",0,496,"1-10",1,0,0,0,0,0,0,0,0,0
"497",0,497,"1-10",1,0,0,0,0,0,0,0,0,0
"498",0,498,"11-50",0,0,0,0,1,0,0,0,0,0
"499",0,499,"51-100",0,0,0,0,0,0,0,0,1,0
"500",0,500,"11-50",0,0,0,0,1,0,0,0,0,0
"501",0,501,"1-10",1,0,0,0,0,0,0,0,0,0
"502",0,502,"11-50",0,0,0,0,1,0,0,0,0,0
"503",0,503,"11-50",0,0,0,0,1,0,0,0,0,0
"504",0,504,"11-50",0,0,0,0,1,0,0,0,0,0
"505",0,505,"5001-10000",0,0,0,0,0,0,1,0,0,0
"506",0,506,"1-10",1,0,0,0,0,0,0,0,0,0
"507",0,507,"11-50",0,0,0,0,1,0,0,0,0,0
"508",0,508,"11-50",0,0,0,0,1,0,0,0,0,0
"509",0,509,"5001-10000",0,0,0,0,0,0,1,0,0,0
"510",0,510,"1-10",1,0,0,0,0,0,0,0,0,0
"511",0,511,"51-100",0,0,0,0,0,0,0,0,1,0
"512",0,512,"51-100",0,0,0,0,0,0,0,0,1,0
"513",0,513,"11-50",0,0,0,0,1,0,0,0,0,0
"514",0,514,"11-50",0,0,0,0,1,0,0,0,0,0
"515",0,515,"1001-5000",0,0,1,0,0,0,0,0,0,0
"516",0,516,"11-50",0,0,0,0,1,0,0,0,0,0
"517",0,517,"1-10",1,0,0,0,0,0,0,0,0,0
"518",0,518,"11-50",0,0,0,0,1,0,0,0,0,0
"519",0,519,"501-1000",0,0,0,0,0,0,0,1,0,0
"520",0,520,"11-50",0,0,0,0,1,0,0,0,0,0
"521",0,521,"1-10",1,0,0,0,0,0,0,0,0,0
"522",0,522,"11-50",0,0,0,0,1,0,0,0,0,0
"523",0,523,"11-50",0,0,0,0,1,0,0,0,0,0
"524",0,524,"501-1000",0,0,0,0,0,0,0,1,0,0
"525",0,525,"11-50",0,0,0,0,1,0,0,0,0,0
"526",0,526,"101-250",0,0,0,1,0,0,0,0,0,0
"527",0,527,"1-10",1,0,0,0,0,0,0,0,0,0
"528",0,528,"51-100",0,0,0,0,0,0,0,0,1,0
"529",0,529,"101-250",0,0,0,1,0,0,0,0,0,0
"530",0,530,"11-50",0,0,0,0,1,0,0,0,0,0
"531",0,531,"11-50",0,0,0,0,1,0,0,0,0,0
"532",0,532,"NA",0,0,0,0,0,0,0,0,0,1
"533",0,533,"11-50",0,0,0,0,1,0,0,0,0,0
"534",0,534,"11-50",0,0,0,0,1,0,0,0,0,0
"535",0,535,"1001-5000",0,0,1,0,0,0,0,0,0,0
"536",0,536,"NA",0,0,0,0,0,0,0,0,0,1
"537",0,537,"1-10",1,0,0,0,0,0,0,0,0,0
"538",0,538,"11-50",0,0,0,0,1,0,0,0,0,0
"539",0,539,"101-250",0,0,0,1,0,0,0,0,0,0
"540",0,540,"NA",0,0,0,0,0,0,0,0,0,1
"541",0,541,"101-250",0,0,0,1,0,0,0,0,0,0
"542",0,542,"251-500",0,0,0,0,0,1,0,0,0,0
"543",0,543,"51-100",0,0,0,0,0,0,0,0,1,0
"544",0,544,"11-50",0,0,0,0,1,0,0,0,0,0
"545",0,545,"501-1000",0,0,0,0,0,0,0,1,0,0
"546",0,546,"11-50",0,0,0,0,1,0,0,0,0,0
"547",0,547,"501-1000",0,0,0,0,0,0,0,1,0,0
"548",0,548,"51-100",0,0,0,0,0,0,0,0,1,0
"549",0,549,"501-1000",0,0,0,0,0,0,0,1,0,0
"550",0,550,"101-250",0,0,0,1,0,0,0,0,0,0
"551",0,551,"11-50",0,0,0,0,1,0,0,0,0,0
"552",0,552,"11-50",0,0,0,0,1,0,0,0,0,0
"553",0,553,"1-10",1,0,0,0,0,0,0,0,0,0
"554",0,554,"101-250",0,0,0,1,0,0,0,0,0,0
"555",0,555,"NA",0,0,0,0,0,0,0,0,0,1
"556",0,556,"NA",0,0,0,0,0,0,0,0,0,1
"557",0,557,"NA",0,0,0,0,0,0,0,0,0,1
"558",0,558,"101-250",0,0,0,1,0,0,0,0,0,0
"559",0,559,"11-50",0,0,0,0,1,0,0,0,0,0
"560",0,560,"11-50",0,0,0,0,1,0,0,0,0,0
"561",0,561,"101-250",0,0,0,1,0,0,0,0,0,0
"562",0,562,"251-500",0,0,0,0,0,1,0,0,0,0
"563",0,563,"51-100",0,0,0,0,0,0,0,0,1,0
"564",0,564,"251-500",0,0,0,0,0,1,0,0,0,0
